answer,question
"النفور من الطعام , الإمساك , الغثيان , التعب, ألم الثدي , كثرة التبول, تغيرات في الحالة المزاجية , تشنّجات , الانتفاخ  , بقع دم.",ماهي أعراض وعلامات الحمل في الشهر الأول ؟
"قد لا تكون المرأة حاملاً بالفعل اول أسبوعين لأنه عادة ما يتم حساب فترة الحمل من آخر دورة شهرية، ولكن وفي حال حدوث الحمل، فعادةً ما يكون الجنين صغيراً جداً في هذه المرحلة بما يعادل حجم بذور الخشخاش أي حوالي 2 مم.",ماهو تطور الجنين في الأسبوع الأول من الحمل ؟ 
"يعتمد اختصاصيي النسائية والتوليد في تحديدهم لموعد الولادة المُرتقب على احتساب اليوم الأول من الدورة الشهريّة الأخيرة على أنّه بداية الشهر الأول من الحمل، يُضَاف له 40 أسبوعًا ليكون الناتج هو يوم الولادة؛ ما يعني بأنّ الأسبوع الأول لا يتضمَّن حدوث الحمل! إنمّا يلجأ الاختصاصيين لهذه الطريقة نظرًا لصعوبة تحديد التوقيت الدقيق لحدوث الإخصاب بين البويضة والحيوان المنوي.",ما الذي يحدث في الأسبوع الأول ؟
"كما في الأسبوع الأول من الحمل، فإنّ الأسبوع الثاني لا يتضمّن تكوُّن الجنين أيضًا، إنمّا تحدث الإباضة خلال هذا الأسبوع بخروج البويضة من الحويصلة في المبيض. يبدأ خلال الأسبوع الثاني إفراز العديد من الهرمونات لتوكيد خروج البويضة من الحويصلة التي تحويها وتحفيز تحركُّها نحو قناة فالوب، حيث تبقى 24 ساعة تقريبًا بانتظار تخصيبها مع الحيوان المنوي. أهّم الهرمونات التي ترتفع مستوياتها خلال مرحلة الإباضة في الأسبوع الثاني: الإستروجين، الهرمون المحفّز للجُريب (FSH) والهرمون المُلوتِن (LH). غالبًا ما يحدث الحمل في نهاية الأسبوع الثاني من الحمل، حتى الآن يُحتسَب كل من الأسبوع الأول والثاني من فترة الحمل على الرغم من عدم حدوثه بعد!",ما الذي يحدث في الأسبوع الثاني ؟
"مع بداية الأسبوع الثالث يكون الحمل قد حدث -غالبًا- باختراق أحد الحيوانات المنويّة للبويضة الموجودة في قناة فالوب، بمجرد حدوث ذلك يتغيّر تركيب البويضة فتمنع دخول أيّ حيوانٍ منوي آخر. تبدأ مجموعة من الانقسامات السريعة في البويضة المُخصّبة، وتتحرّك باتجاه الرحم استعدادًا لبدء مراحل تكوُّن الجنين بعد انغراسها بداخله.",ما الذي يحدث في الأسبوع الثالث ؟ 
"خلال هذا الأسبوع قد تشعر المرأة بأُولى علامات الحمل، فمن المفترض أن يشير تأخُّر دورتها الشهريّة المرتقبة هذا الشهر إلى حدوث الحمل، إذ إنّ انغراس البويضة المخصبّة في الرحم سيحفّز إفراز هرمون موجّهة الغدد التناسليّة المشيميّة البشريّة HCG الذي يتولّى مهمّة إيقاف إطلاق البويضات من المبايض، بالتالي غياب الدورة الشهريّة لــِ 9 أشهر قادمة.",ما الذي يحدث في الأسبوع الرابع ؟
"المواظبة على شرب كميّة كافية من السوائل , الالتزام بتناول حمض الفوليك طِيلة فترة الحمل , تناول الأطعمة الغنيّة بالكالسيوم وعدم إهمالها, علاج المشاكل التناسليّة لدى الأُم والتي قد تؤثِّر على الجنين، مثل الهربس التناسلي والكلاميديا وغيرها من الأمراض والمشاكل ذات الصِلة , الإقلاع عن التدخين وتجنُّب ""التدخين السلبي"", تناول الأطعمة الغنيّة بالحديد وفيتامين C , تجنُّب التماس المباشر بين فروة الرأس والمواد الكيميائيّة المُستخدَمة إمّا لصبغ الشعر أو غير ذلك.","ما النصائح للحامل في الشهر الأول ؟
"
"في الأسبوع الأول من الحمل، تتشابه الأعراض التي تعاني منها المرأة إلى حد كبير مع أعراض الدورة الشهرية، ويمكن أن تشمل ما يلي:

النزيف المهبلي.
آلام أسفل الظهر.
تشنجات، وغازات.
تقلب المزاج.
كما أن العديد من النساء يعانين من الصداع النصفي الطمثي والمتصل بتغير الهرمونات، ويمكن خلال هذا الأسبوع أن تؤدي الزيادة في البروجسترون إلى الشعور بآلام في الثدي.",ما اعراض الأسبوع الأول من الحمل ؟
"في هذه الفترة، تكون مستويات الهرمونات عالية بما فيه الكفاية بحيث أنها تتسبب بظهور بعض أعراض الحمل الملحوظة، ولكن بعض النساء لا يلاحظن أي أعراض قبل الأسبوع الرابع وهو أمر طبيعي. ومن هذه الأعراض التي يمكن ملاحظتها:

نزيف بسيط بعد حوالي 5 إلى 10 أيام من الحمل بسبب زرع الجنين في جدار الرحم.
كثرة التبول.
آلام الثدي، أو تغير لون الحلمة للون أغمق.
الإعياء والإرهاق.
الغثيان الصباحي.
الغازات.",ما اعراض الأسبوع الثاني من الحمل ؟
"ويكون تطور الجنين في الأسبوع الثاني كما في الأسبوع الأول، حيث لازال بحجم صغيرة جداً مثل بذور الخشخاش.
",ماهو تطور الجنين في الأسبوع الثاني من الحمل ؟ 
